,Country/Region,date_first_case,date_first_death,days_c1_to_d1,date,cases,deaths
0,Afghanistan,2020-02-24,2020-03-22,27.0,2021-09-03,153375,7127
1,Albania,2020-03-09,2020-03-11,2.0,2021-09-03,149117,2508
2,Algeria,2020-02-25,2020-03-12,16.0,2021-09-03,197308,5373
3,Andorra,2020-03-02,2020-03-22,20.0,2021-09-03,15055,130
4,Angola,2020-03-20,2020-03-29,9.0,2021-09-03,48261,1248
5,Antigua and Barbuda,2020-03-13,2020-04-07,25.0,2021-09-03,1750,44
6,Argentina,2020-03-03,2020-03-08,5.0,2021-09-03,5199919,112356
7,Armenia,2020-03-01,2020-03-26,25.0,2021-09-03,243981,4892
8,Australia,2020-01-26,2020-03-01,35.0,2021-09-03,59949,1036
9,Austria,2020-02-25,2020-03-12,16.0,2021-09-03,693416,10785
10,Azerbaijan,2020-03-01,2020-03-13,12.0,2021-09-03,436257,5760
11,Bahamas,2020-03-16,2020-04-01,16.0,2021-09-03,18694,412
12,Bahrain,2020-02-24,2020-03-16,21.0,2021-09-03,272807,1388
13,Bangladesh,2020-03-08,2020-03-18,10.0,2021-09-03,1510283,26432
14,Barbados,2020-03-17,2020-04-05,19.0,2021-09-03,5183,51
15,Belarus,2020-02-28,2020-03-31,32.0,2021-09-03,487017,3814
16,Belgium,2020-02-04,2020-03-11,36.0,2021-09-03,1192008,25397
17,Belize,2020-03-23,2020-04-06,14.0,2021-09-03,16750,363
18,Benin,2020-03-16,2020-04-06,21.0,2021-09-03,16946,135
19,Bhutan,2020-03-06,2021-01-08,308.0,2021-09-03,2596,3
20,Bolivia,2020-03-11,2020-03-29,18.0,2021-09-03,491759,18486
21,Bosnia and Herzegovina,2020-03-05,2020-03-21,16.0,2021-09-03,216124,9862
22,Botswana,2020-03-30,2020-03-31,1.0,2021-09-03,159317,2276
23,Brazil,2020-02-26,2020-03-17,20.0,2021-09-03,20856060,582670
24,Brunei,2020-03-09,2020-03-28,19.0,2021-09-03,3093,12
25,Bulgaria,2020-03-08,2020-03-11,3.0,2021-09-03,460691,19051
26,Burkina Faso,2020-03-10,2020-03-18,8.0,2021-09-03,13816,171
27,Burma,2020-03-27,2020-03-31,4.0,2021-09-03,409509,15693
28,Burundi,2020-03-31,2020-04-13,13.0,2021-09-03,12585,38
